Cubies N,Colors number,Color 1,Pos Color 1 x,Pos Color 1 y,Identifier,Color 2,Pos Color 2 x,Pos Color 2 y,Identifier,Color 3,Pos Color 3 x,Pos Color 3 y,Identifier 
1,3,yellow,4,6,0101,blue,5,6,0102,orange,3,8,0103
2,2,yellow,0,7,0201,orange,1,1,0202,None,-1,-1,None
3,3,yellow,3,2,0301,green,4,0,0302,orange,0,0,0303
4,2,yellow,2,1,0401,blue,0,5,0402,None,-1,-1,None
5,1,yellow,0,4,0501,None,-1,-1,None,None,-1,-1,None
6,2,yellow,4,5,0601,green,1,3,0602,None,-1,-1,None
7,3,yellow,3,0,0701,blue,0,2,0702,red,2,2,0703
8,2,yellow,5,7,0801,red,3,7,0802,None,-1,-1,None
9,3,yellow,1,0,0901,red,0,6,0902,green,4,2,0903
10,2,blue,3,1,1001,orange,0,1,1002,None,-1,-1,None
11,1,blue,4,4,1101,None,-1,-1,None,None,-1,-1,None
12,2,blue,1,5,1201,red,2,3,1202,None,-1,-1,None
13,3,blue,2,6,1301,orange,1,8,1302,white,5,2,1303
14,2,blue,5,1,1401,white,1,7,1402,None,-1,-1,None
15,3,blue,5,0,1501,red,4,8,1502,white,1,6,1503
16,1,red,1,4,1601,None,-1,-1,None,None,-1,-1,None
17,2,red,4,7,1701,green,5,3,1702,None,-1,-1,None
18,2,red,0,3,1801,white,4,1,1802,None,-1,-1,None
19,3,red,3,6,1901,green,5,8,1902,white,2,8,1903
20,1,green,2,4,2001,None,-1,-1,None,None,-1,-1,None
21,2,green,2,5,2101,orange,3,3,2102,None,-1,-1,None
22,2,green,2,7,2201,white,5,5,2202,None,-1,-1,None
23,3,green,2,0,2301,orange,1,2,2302,white,0,8,2303
24,1,orange,3,4,2401,None,-1,-1,None,None,-1,-1,None
25,2,orange,4,3,2501,white,3,5,2502,None,-1,-1,None
26,1,white,5,4,2601,None,-1,-1,None,None,-1,-1,None
,,,,,,,,,,,,,